ORF,Protein Molecules/Cell
YDR373W,158
YDR375C,47
YDR376W,67
YDR377W,262
YDR379C-A,NA
YDR379W,95
YDR380W,115
YDR381W,3721
YDR382W,7523
YDR384C,176
YDR385W,5124
YDR388W,168
YDR389W,94
YDR390C,154
YDR391C,125
YDR392W,44
YDR394W,84
YDR395W,NA
YDR397C,424
YDR398W,412
YDR399W,1949
YDR400W,88
YDR404C,NA
YDR405W,153
YDR407C,57
YDR408C,1111
YDR409W,50
YDR410C,NA
YDR411C,105
YDR412W,188
YDR414C,NA
YDR416W,53
YDR418W,6454
YDR419W,NA
YDR421W,NA
YDR422C,66
YDR423C,NA
YDR424C,70
YDR425W,68
YDR427W,509
YDR429C,NA
YDR430C,194
YDR432W,3679
YDR434W,158
YDR436W,NA
YDR437W,NA
YDR439W,NA
YDR440W,NA
YDR441C,166
YDR443C,45
YDR444W,NA
YDR447C,4203
YDR448W,65
YDR449C,233
YDR450W,449
YDR451C,NA
YDR452W,NA
YDR453C,NA
YDR454C,912
YDR456W,181
YDR457W,161
YDR458C,78
YDR460W,52
YDR461W,1576
YDR462W,149
YDR463W,NA
YDR464W,44
YDR465C,134
YDR469W,75
YDR471W,2892
YDR472W,74
YDR473C,48
YDR474C,NA
YDR476C,130
YDR477W,251
YDR478W,44
YDR479C,41
YDR480W,NA
YDR481C,NA
YDR482C,103
YDR483W,82
YDR484W,94
YDR485C,44
YDR486C,226
YDR487C,1284
YDR492W,53
YDR493W,NA
YDR495C,75
YDR496C,633
YDR497C,900
YDR498C,78
YDR499W,NA
YDR500C,2707
YDR502C,1258
YDR503C,79
YDR505C,98
YDR507C,171
YDR508C,1898
YDR510W,992
YDR511W,NA
YDR513W,51
YDR514C,NA
YDR515W,114
YDR516C,NA
YDR517W,194
YDR519W,83
YDR520C,NA
YDR523C,NA
YDR524C,NA
YDR525W-A,1172
YDR527W,102
YDR528W,NA
YDR529C,775
YDR530C,NA
YDR531W,156
YDR532C,NA
YDR533C,103
YDR538W,NA
YDR539W,68
YDR540C,NA
YEL001C,661
YEL002C,561
YEL003W,121
YEL005C,NA
YEL006W,NA
YEL007W,191
YEL008W,NA
YEL009C,NA
YEL011W,NA
YEL012W,86
YEL013W,541
YEL014C,131
YEL015W,162
YEL017C-A,2757
YEL017W,61
YEL018W,86
YEL019C,84
YEL020C,NA
YEL022W,270
YEL024W,NA
YEL025C,NA
YEL027W,NA
YEL031W,1033
YEL036C,73
YEL037C,48
YEL038W,129
YEL039C,NA
YEL040W,996
YEL042W,50
YEL043W,106
YEL044W,NA
YEL046C,5632
YEL047C,625
YEL048C,66
YEL050C,NA
YEL051W,NA
YEL052W,100
YEL053C,42
YEL054C,1379
YEL055C,280
YEL058W,150
YEL059C-A,44
YEL060C,155
YEL061C,NA
YEL062W,NA
YEL063C,NA
YEL065W,171
YEL066W,111
YEL071W,1167
YEL073C,NA
YER001W,59
YER002W,520
YER003C,298
YER004W,180
YER005W,NA
YER006W,670
YER007C-A,459
YER008C,202
YER011W,NA
YER013W,74
YER014W,NA
YER016W,60
YER017C,178
YER018C,63
YER019C-A,286
